"","y","sa","t","s","i"
"87",845000,1060722.15319438,1067303.16891747,0.796627087928039,0.993833977154061
"88",836000,1056029.5247755,1060985.66242842,0.791644533023564,0.995328742104234
"89",804999.999999999,1053597.78733897,1057801.52124697,0.764048681264941,0.996025971012934
"90",786000.000000001,1054889.08267985,1056949.70802133,0.745102032910643,0.998050403604034
"91",785000,1060449.55076102,1056833.07484468,0.740252093498132,1.00342199350344
"92",788000.000000001,1062263.27946003,1054890.3899705,0.741812331497099,1.00698924699631
"93",790000,1049192.1860272,1050463.46748558,0.752960239812079,0.998789789937745
"94",791000,1041536.11377514,1046060.86016468,0.759455183107333,0.995674490307549
"95",797000,1043449.32119935,1043214.51129544,0.763812850138154,1.00022508304991
"96",804000,1033997.66811078,1042252.08249643,0.777564616242311,0.992080213103646
"97",839000,1037413.23483673,1044878.66621761,0.808742333166828,0.992855216952696
"98",909000,1067404.46036585,1048200.66260099,0.851598465017136,1.01832072660325
"99",922000.000000001,1040544.05366232,1048167.60544518,0.886074930470184,0.992726781725305
"100",1002000,1047454.71489704,1047653.78384209,0.956604601372664,0.999809985943713
"101",1033000,1051404.29894272,1047853.95855606,0.982495507236157,1.00338820153102
"102",1074000,1046592.34854711,1047159.93716371,1.02618751368757,0.999457973327235
"103",1083000,1028878.62504403,1049201.8255623,1.05260229305829,0.980629846400259
"104",1352000,1067532.11499449,1055770.54881501,1.2664724376999,1.01114026735513
"105",1532000,1076365.70525062,1059527.01826216,1.42330807505921,1.01589264520699
"106",1509000,1057053.20780395,1056548.66462717,1.42755349386336,1.00047753898488
"107",1469000,1040592.10606499,1052836.23091847,1.41169627507078,0.988370342419919
"108",1474000,1050056.80225082,1053238.75249012,1.4037335854979,0.996978889893886
"109",1487000,1062825.09137402,1055368.98184084,1.39910133103614,1.00706493147086
"110",1440000,1048964.64361828,1057016.60039297,1.37278220840017,0.992382374343315
"111",1498000,1069191.98797916,1058421.11800006,1.40105801094836,1.01017635589079
"112",1461000,1056686.50059636,1058103.64519962,1.38262389003309,0.99866067505798
"113",1437000,1057680.01143008,1056490.09621611,1.35863397669494,1.00112629093091
"114",1400000,1059776.94324708,1053920.6304953,1.32103270308042,1.00555669239441
"115",1342000,1052118.89788415,1049051.66315555,1.27552123880562,1.00292381665873
"116",1279000,1041790.45248923,1042624.56890383,1.22769410772001,0.999199983925688
"117",1200000,1023888.62071883,1038246.7416972,1.17200247733736,0.986170800830158
"118",1197000,1050696.77280061,1036233.60422948,1.13924400548926,1.01395744020662
"119",1145000,1040439.41748973,1030743.14365253,1.10049656015777,1.00940707090502
"120",1089000,1024221.0431069,1019740.13223172,1.06324704743089,1.00439416939036
"121",1019000,992419.722366373,1008655.17905928,1.02678330250254,0.983903858295704
"122",974000,994710.559575172,1003228.3870339,0.979179310628795,0.99150958289377
"123",944999.999999999,1000534.20088205,1003290.63728463,0.94449544969768,0.997252604280215
"124",915999.999999999,1005673.82415036,1005529.01438675,0.910832098840674,1.00014401351084
"125",883000,1011136.01998018,1007741.29161712,0.873275190035564,1.00336865065598
"126",855000,1007167.30628214,1009357.90591081,0.848915562158332,0.997829709743359
"127",848000.000000001,1003589.25716647,1012570.70978855,0.844967195438341,0.991130048958303
"128",843999.999999999,1016641.79602768,1019322.63333858,0.830184243159941,0.99736998157088
"129",843000,1022688.43682033,1029388.37597166,0.824297967640071,0.993491339801653
"130",853999.999999999,1041384.51301687,1042205.81282024,0.820062128181623,0.999211960062719
"131",948999.999999999,1061213.65360323,1055740.57562203,0.894259131304785,1.00518411256285
"132",1033000,1073056.75061893,1067148.70302864,0.962670426707788,1.0055362927149
"133",1012000,1073487.2913482,1076639.71858128,0.94272191963169,0.997071975723477
"134",1041000,1093758.81998558,1085067.0936179,0.951763753561068,1.00801031237497
"135",1061000,1105672.52605246,1089075.53113563,0.959596964743299,1.01523952604052
"136",1023000,1090129.96890259,1086438.38310204,0.938420215187582,1.00339787866295
"137",962000.000000001,1070093.82628004,1082174.21645026,0.898986590123778,0.988836926636595
"138",911999.999999999,1069697.17438429,1083077.30360893,0.852577740541329,0.987646191846088
"139",870000.000000001,1088842.88786768,1090093.95901654,0.799013346823389,0.998852327234262
"140",872000,1110878.97339389,1097708.18363092,0.784963997775487,1.01199844362953
"141",848000.000000001,1098717.17319053,1102274.27682635,0.771809179552113,0.99677294144425
"142",823000,1105567.66111675,1106140.89377084,0.744413959403149,0.999481772478248
"143",820999.999999999,1109819.99916339,1110996.97147591,0.739759601213613,0.998940616092804
"144",830000,1116164.82357205,1116451.93183566,0.743617772636626,0.999742838670052
"145",832000,1113999.21636561,1123748.80678476,0.746858694132993,0.991324048256794
"146",864000,1134541.22200708,1134103.64190649,0.76154130254653,1.00038583784093
"147",879000,1146851.21435205,1145853.5308255,0.766446413449212,1.0008706902756
"148",901999.999999999,1160889.05611447,1156852.94636293,0.776990699713388,1.00348887018375
"149",935000,1163327.73584109,1167276.32206758,0.803728795586558,0.996617265208046
"150",1007000,1177007.88322938,1178712.46433096,0.855559265446101,0.998553861816885
"151",1025000,1184026.38624037,1192761.44692731,0.865690166968894,0.992676607120854
