"","y","t","s","i"
"101",1033000,1047853.95855606,0.982495507236157,1.00338820155019
"102",1074000,1047159.93716371,1.02618751368757,0.999457973346702
"103",1083000,1049201.8255623,1.05260229305829,0.980629846419561
"104",1352000,1055770.54881501,1.2664724376999,1.01114026737519
"105",1532000,1059527.01826216,1.42330807505921,1.01589264522755
"106",1509000,1056548.66462717,1.42755349386336,1.0004775390051
"107",1469000,1052836.23091847,1.41169627507078,0.98837034243998
"108",1474000,1053238.75249012,1.4037335854979,0.99697888991477
"109",1487000,1055368.98184084,1.39910133103614,1.00706493149248
"110",1440000,1057016.60039297,1.37278220840017,0.992382374364449
"111",1498000,1058421.11800006,1.40105801094836,1.01017635591279
"112",1461000,1058103.64519962,1.38262389003309,0.998660675079763
"113",1437000,1056490.09621611,1.35863397669494,1.0011262909523
"114",1400000,1053920.6304953,1.32103270308042,1.00555669241717
"115",1342000,1049051.66315555,1.27552123880562,1.00292381668148
"116",1279000,1042624.56890383,1.22769410772001,0.999199983948641
"117",1200000,1038246.7416972,1.17200247733736,0.986170800852882
"118",1197000,1036233.60422948,1.13924400548926,1.01395744023014
"119",1145000,1030743.14365253,1.10049656015777,1.00940707092929
"120",1089000,1019740.13223172,1.06324704743089,1.0043941694147
"121",1019000,1008655.17905928,1.02678330250254,0.983903858318401
"122",974000,1003228.3870339,0.979179310628795,0.991509582918275
"123",944999.999999999,1003290.63728463,0.94449544969768,0.997252604305187
"124",915999.999999999,1005529.01438675,0.910832098840674,1.00014401353589
"125",883000,1007741.29161712,0.873275190035564,1.00336865068201
"126",855000,1009357.90591081,0.848915562158332,0.997829709768409
"127",848000.000000001,1012570.70978855,0.844967195438341,0.991130048983516
"128",843999.999999999,1019322.63333858,0.830184243159941,0.997369981596808
"129",843000,1029388.37597166,0.824297967640071,0.993491339827899
"130",853999.999999999,1042205.81282024,0.820062128181623,0.999211960089196
"131",948999.999999999,1055740.57562203,0.894259131304785,1.00518411258968
"132",1033000,1067148.70302864,0.962670426707788,1.00553629274228
"133",1012000,1076639.71858128,0.94272191963169,0.997071975750555
"134",1041000,1085067.0936179,0.951763753561068,1.00801031240348
"135",1061000,1089075.53113563,0.959596964743299,1.01523952606877
"136",1023000,1086438.38310204,0.938420215187582,1.0033978786912
"137",962000.000000001,1082174.21645026,0.898986590123778,0.988836926664644
"138",911999.999999999,1083077.30360893,0.852577740541329,0.987646191874305
"139",870000.000000001,1090093.95901654,0.799013346823389,0.998852327263078
"140",872000,1097708.18363092,0.784963997775487,1.01199844365908
"141",848000.000000001,1102274.27682635,0.771809179552113,0.996772941473691
"142",823000,1106140.89377084,0.744413959403149,0.99948177250791
"143",820999.999999999,1110996.97147591,0.739759601213613,0.998940616122789
"144",830000,1116451.93183566,0.743617772636626,0.999742838700262
"145",832000,1123748.80678476,0.746858694132993,0.991324048287293
"146",864000,1134103.64190649,0.76154130254653,1.00038583787176
"147",879000,1145853.5308255,0.766446413449212,1.00087069030666
"148",901999.999999999,1156852.94636293,0.776990699713388,1.0034888702153
"149",935000,1167276.32206758,0.803728795586558,0.996617265239484
"150",1007000,1178712.46433096,0.855559265446101,0.998553861848606
"151",1025000,1192761.44692731,0.865690166968894,0.992676607152864
"152",1152000,1209644.22610956,0.950670511787854,1.00176256690558
"153",1193000,1227597.10173195,0.972117033738612,0.999691584568702
"154",1251000,1245645.63875149,1.00414144226122,1.00015637280914
"155",1273000,1266024.63360298,1.0162734199545,0.989408599271025
"156",1534000,1290175.74386102,1.18485851351205,1.0034829401435
"157",1787000,1314575.52502719,1.35258006927712,1.00502305989448
"158",1835000,1336502.355761,1.37102683549939,1.00142950902891
"159",1848000,1356287.69784168,1.35617909451877,1.00469235808242
"160",1872000,1372719.87927202,1.35401620358084,1.00716368875989
"161",1860000,1385925.79676636,1.34514448833998,0.997709320173587
"162",1831000,1399952.36788921,1.31556382756868,0.994175739822671
"163",1924000,1414598.15122348,1.34423907134432,1.01180184548732
"164",1869000,1427110.73791813,1.31863722970778,0.993176178284697
"165",1869000,1440154.39270739,1.29778431164234,0.999994768816577
"166",1833000,1456312.96214739,1.26751171963017,0.993014902983269
"167",1808000,1476942.29939269,1.23099854657775,0.99443718884212
"168",1788000,1502770.27428169,1.19445829241511,0.996102267623371
"169",1775000,1531430.06761838,1.15580376050459,1.002806371405
"170",1762000,1560633.85785549,1.13114136592233,0.998132035201417
"171",1739000,1593509.03023804,1.10498817434484,0.987614421217066
"172",1767000,1634492.44888427,1.08551195481101,0.99590753961022
"173",1805000,1678112.90481047,1.06074319290098,1.01401825996875
"174",1774000,1713778.67555582,1.02333492329582,1.01153539833469
"175",1738000,1738421.31038833,0.991773615231692,1.00805025702701
"176",1689000,1755262.82390826,0.959286509460975,1.00308828405607
"177",1639000,1767789.925307,0.925088789840454,1.0022241900818
"178",1579000,1778903.79135599,0.889813128641759,0.997541242102774
"179",1582000,1791692.89494944,0.886452990138097,0.996063895434337
"180",1574000,1806999.96410398,0.870455332075426,1.00069123112199
"181",1578000,1821912.87883581,0.862780064508788,1.00387419667855
"182",1579000,1832552.2771356,0.855585522197608,1.00707619510221
"183",1628000,1839138.55312867,0.88837003787917,0.996428290525542
"184",1759000,1848065.75334192,0.96038171570775,0.991070472585379
"185",1774000,1861793.77865503,0.949349289562921,1.00368171215501
"186",1801000,1874413.99893739,0.955734939026513,1.00533483418792
"187",1790000,1884947.05502065,0.95650240826991,0.992813804298428
"188",1767000,1900542.36925332,0.938397492535444,0.990768419265809
"189",1748000,1923830.02790099,0.909874744996839,0.998603579729795
"190",1706000,1949088.41979121,0.870430073275396,1.00557298688295
"191",1646000,1969444.53379725,0.829601171162193,1.00743427017995
"192",1577000,1987710.54698933,0.804026892555307,0.98675191118428
"193",1643000,2010078.63780022,0.81304526981829,1.00533265129759
"194",1585000,2034246.82945323,0.78167578771949,0.996779181475387
